OBS,AUOPARTSNSA,AUTOMOTIVEPRODNSA,CHEMICALPRODNSA,CLOTHINGNSA,CONSUMERGOODSNSA,DURCONSGOODSNSA,ENGERYPRODNSA,FINALPRODUCTSNSA,FOODSTOBACCONSA,FUELSNSA,OTHDURGOODSNSA,PAPERPRODNSA,PRODUCTSNSA,TOTALNSA
1965:1,37.24033229,58.26866659,30.03233337,93.52600098,50.91066742,47.3106664,52.79399999,46.1293335,51.54800034,65.94966634,41.83266576,50.19833247,46.09000015,47.839667
1965:2,39.4343338,60.07033412,31.48699951,92.76433309,51.66899999,49.02699916,48.82399877,47.30500031,53.00099945,64.2796669,43.51133474,52.24733353,47.66533279,49.56700007
1965:3,41.68233363,43.30899938,33.19366646,91.15733337,51.3503329,43.25500107,53.07066727,47.27766673,55.53900019,67.76966604,43.5233345,55.71633275,47.88600032,49.27200063
1965:4,41.83533351,61.71333313,32.21866608,90.76266988,53.39866765,52.48566564,51.36266708,49.67066701,54.08633296,68.15500132,47.96333313,53.6509997,49.75099945,51.19666672
1966:1,41.67166646,61.00699997,31.9563338,95.30233256,53.6263326,51.71000036,56.14833196,50.69566727,52.54999924,68.73333232,47.1299998,53.39299901,50.42833455,52.3763326
1966:2,43.40733337,60.35833232,34.39499982,95.69666545,54.42966588,52.61233266,51.39333344,51.96733475,54.83766556,67.25599925,48.88000107,54.69999949,52.09999975,54.13200124
1966:3,44.59700012,40.5416654,36.31933339,92.82099915,54.12666702,45.33966573,57.8100001,51.99466578,57.92700068,71.08866882,48.21333313,60.46033351,52.26566696,53.7246666
1966:4,43.58200073,60.60366694,36.21066666,91.97466532,55.7196668,53.7826678,54.48633194,53.79966736,56.19033305,70.72466532,50.54633331,58.31466802,53.39866638,55.11533356
1967:1,44.17033386,49.54999924,34.37499873,95.41633352,54.50100072,48.79266739,59.50266647,53.35466512,54.97233327,69.65200043,48.79800034,57.62700017,52.88999939,54.36333338
1967:2,39.20266724,53.11133321,36.13666662,94.21399943,55.78366725,49.37566757,57.19833247,54.25999959,58.35133362,69.49366506,47.69166692,59.80733363,54.23500061,54.91966502
1967:3,44.25033315,38.16033427,39.04300054,95.40066783,55.57733281,44.00166702,61.08766683,53.77366765,59.67433294,73.09566752,47.688001,64.29733149,54.24199931,54.37466685
1967:4,46.1503334,54.66266632,38.20033264,94.0709966,57.44666799,53.35699972,60.32866796,55.48233287,57.70333354,73.97366587,53.09200033,60.14366659,55.47466532,56.28066635
1968:1,47.21699905,59.12600072,36.32666524,99.14633179,57.47299957,53.77333323,64.43233363,55.76000086,56.03133265,74.32966614,51.23500061,57.96000036,55.31099955,56.81166712
1968:2,47.3736674,63.11566798,39.89233271,99.80199941,59.11133448,55.39800008,60.53866704,56.75733312,59.0043335,73.28633118,51.54399999,58.66833369,56.85999934,58.38533401
1968:3,48.31733322,44.20199903,43.40000025,98.56033325,59.19400024,48.93266678,66.52033234,56.67000071,62.40566508,77.08766683,52.0656662,63.02300008,57.03533427,57.73533376
1968:4,49.52633286,66.47666423,41.85733287,95.37133535,60.87099965,59.69833374,63.76100159,58.09233348,59.38233439,76.6823349,56.41233444,59.6553332,58.15500005,59.2746671
1969:1,50.64533234,62.99700038,39.60066605,101.2210007,60.78133392,58.61433411,67.88800303,58.24466705,58.42566681,75.76300049,56.66933314,58.73633321,58.11633301,60.03633372
1969:2,51.00999959,60.81233215,41.25166702,100.9609985,61.320666,57.97500102,63.99066798,58.72866567,60.66133245,75.75799815,56.89700063,62.03000132,59.20433299,61.15100098
1969:3,51.60266749,48.29266739,45.16766612,100.5840022,62.13100052,52.70666631,72.32499949,59.0340004,64.05766678,80.47333272,55.67699941,66.12900035,59.5953331,60.85599899
1969:4,52.88100052,61.85499954,43.37200038,95.88966624,61.31200027,57.78799947,68.89933268,58.50099945,60.10333252,81.69366709,56.00333405,60.97833379,58.92100016,60.93700027
1970:1,53.16133372,54.32199987,41.85633469,99.4966685,59.79866536,53.57400004,72.77366638,56.81033325,58.82800039,81.48733266,53.62966665,57.57366562,56.82466634,59.07533391
1970:2,48.445666,58.56233342,46.44566727,100.0629985,61.73466619,55.51499939,68.19366709,57.58399963,61.78499985,79.53899892,54.28833389,59.69233322,58.11533356,59.66633224
